brand_name,generic_name,drug_type,manufacturer,total_spending_2023,total_claims_2023,total_beneficiaries_2023,avg_spending_per_claim_2023,avg_spending_per_unit_2023,cost_per_beneficiary_2023,claims_per_beneficiary_2023
1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",Brand,Overall,44355.04,1613,699.0,27.498474892,0.2271618646,63.45499284692418,2.30758226037196
1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",Brand,Owen Mumford Us,44355.04,1613,699.0,27.498474892,0.2271618646,63.45499284692418,2.30758226037196
1ST TIER UNIFINE PENTIPS PLUS,"PEN NEEDLE, DIABETIC",Brand,Overall,97951.18,3269,1267.0,29.963652493,0.2409322287,77.30953433307025,2.5801104972375692
1ST TIER UNIFINE PENTIPS PLUS,"PEN NEEDLE, DIABETIC",Brand,Owen Mumford Us,97951.18,3269,1267.0,29.963652493,0.2409322287,77.30953433307025,2.5801104972375692
ABACAVIR,ABACAVIR SULFATE,Brand,Overall,5287295.41,19632,2809.0,269.32026335,3.594356551,1882.2696368814525,6.988964044143823
ABACAVIR,ABACAVIR SULFATE,Brand,"Cipla USA, Inc.",710541.39,2943,594.0,241.43438328,2.8847912353,1196.1976262626263,4.954545454545454
ABACAVIR,ABACAVIR SULFATE,Brand,Rising Pharm,48974.57,206,31.0,237.74063107,0.4420925446,1579.8248387096774,6.645161290322581
ABACAVIR,ABACAVIR SULFATE,Brand,Mylan,666703.2,2470,469.0,269.92032389,3.8544886915,1421.5420042643923,5.266524520255864
ABACAVIR,ABACAVIR SULFATE,Brand,Aurobindo Pharm,1411487.34,6035,965.0,233.88356918,3.5689403073,1462.6811813471504,6.253886010362694
ABACAVIR,ABACAVIR SULFATE,Brand,Camber Pharmace,2449588.91,7978,1433.0,307.04298195,3.8761913159,1709.4130565247733,5.567341242149337
ABACAVIR-LAMIVUDINE,ABACAVIR SULFATE/LAMIVUDINE,Brand,Overall,9999234.5,20201,2892.0,494.9871046,12.057845489,3457.5499654218534,6.985131396957123
ABACAVIR-LAMIVUDINE,ABACAVIR SULFATE/LAMIVUDINE,Brand,Lupin Pharmaceu,647860.3,1360,326.0,476.36786765,13.867169674,1987.3015337423315,4.171779141104294
ABACAVIR-LAMIVUDINE,ABACAVIR SULFATE/LAMIVUDINE,Brand,Laurus Labs Lim,149198.22,265,92.0,563.01215094,16.440575207,1621.7197826086956,2.880434782608696
ABACAVIR-LAMIVUDINE,ABACAVIR SULFATE/LAMIVUDINE,Brand,"Cipla USA, Inc.",5591836.13,12632,1957.0,442.67227122,11.271636108,2857.3511139499233,6.454777721001533
ABACAVIR-LAMIVUDINE,ABACAVIR SULFATE/LAMIVUDINE,Brand,Aurobindo Pharm,3610339.85,5944,1158.0,607.39230316,13.119301181,3117.7373488773746,5.132987910189983
ABILIFY,ARIPIPRAZOLE,Brand,Overall,11882943.19,12115,1736.0,980.84549649,23.319755196,6845.01335829493,6.9786866359447
ABILIFY,ARIPIPRAZOLE,Brand,Otsuka America,11882943.19,12115,1736.0,980.84549649,23.319755196,6845.01335829493,6.9786866359447
ABILIFY ASIMTUFII,ARIPIPRAZOLE,Brand,Overall,13218817.72,2410,1231.0,5484.9866058,1783.0262923,10738.275970755483,1.957757920389927
ABILIFY ASIMTUFII,ARIPIPRAZOLE,Brand,Otsuka America,13218817.72,2410,1231.0,5484.9866058,1783.0262923,10738.275970755483,1.957757920389927
ABILIFY MAINTENA,ARIPIPRAZOLE,Brand,Overall,636857890.94,232162,29378.0,2743.1616326,2732.2746358,21678.05469875417,7.902580162026005
ABILIFY MAINTENA,ARIPIPRAZOLE,Brand,Otsuka America,636857890.94,232162,29378.0,2743.1616326,2732.2746358,21678.05469875417,7.902580162026005
ABILIFY MYCITE,ARIPIPRAZOLE,Brand,Overall,75397.26,44,,1713.5740909,57.119136364,,
ABILIFY MYCITE,ARIPIPRAZOLE,Brand,Otsuka America,75397.26,44,,1713.5740909,57.119136364,,
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Overall,877469516.77,315666,45661.0,2779.7403482,33.614327353,19217.04554806071,6.9132520093734255
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,AHP,16699.98,44,39.0,379.545,3.2464968896,428.20461538461535,1.1282051282051282
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Mylan,48263295.9,8341,2560.0,5786.2721376,93.723749896,18852.8499609375,3.258203125
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,"Civicascript, L",120967.95,629,125.0,192.31788553,1.7700899912,967.7436,5.032
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,West-Ward/Hikma,4270570.66,26390,4008.0,161.82533763,1.2832606029,1065.5116417165668,6.58433133732535
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Bluepoint/Oncop,37169240.15,13074,2845.0,2842.9891502,24.830113759,13064.759279437609,4.595430579964851
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Major Pharmaceu,154149.33,466,219.0,330.79255365,3.9353926474,703.8782191780821,2.127853881278539
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Florida Pharmac,20543397.18,11038,4473.0,1861.1521272,17.89607244,4592.75590878605,2.467695059244355
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Northstar Rx Ll,62034001.5,23552,6327.0,2633.9165039,27.287474866,9804.646989094357,3.72245930140667
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Avkare,363204.93,109,70.0,3332.1553211,29.260044308,5188.641857142857,1.5571428571428572
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Novugen Pharma,107836867.14,18302,3786.0,5892.081037,97.867294912,28483.0605229794,4.834125726360274
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Novadoz Pharmac,224026263.55,104009,23225.0,2153.9122917,19.197881724,9645.910163616792,4.47832077502691
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Amneal Pharmace,123500590.34,22944,6312.0,5382.6965804,87.629623738,19565.99973700887,3.634980988593156
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Dr.Reddy'S Lab,21878881.67,6726,2671.0,3252.8816042,33.348087407,8191.269812804194,2.518157993260951
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,"Celltrion USA,",46541913.23,13575,5470.0,3428.5018954,46.424379023,8508.576458866544,2.4817184643510055
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Rising Pharm,19143743.68,7450,3421.0,2569.6300242,23.112061533,5595.949628763519,2.177725811166326
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Glenmark Pharma,59702194.74,23428,7724.0,2548.3265639,29.436415107,7729.440023303988,3.0331434489901605
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Apotex Corp,100399794.7,35167,9901.0,2854.9434043,31.14870572,10140.369124330877,3.551863448136552
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Wockhardt USA L,117270.8,57,41.0,2057.3824561,21.399781022,2860.2634146341466,1.3902439024390243
ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Teva USA,1386469.34,365,76.0,3798.546137,34.832566839,18243.017631578947,4.802631578947368
ABRAXANE,PACLITAXEL PROTEIN-BOUND,Brand,Overall,7462297.97,932,249.0,8006.7574785,1675.7911453,29969.06815261044,3.7429718875502007
ABRAXANE,PACLITAXEL PROTEIN-BOUND,Brand,BMS-Abraxis Bio,7462297.97,932,249.0,8006.7574785,1675.7911453,29969.06815261044,3.7429718875502007
ABRYSVO,"RSV VACC, PREF A AND PREF B/PF",Brand,Overall,698160177.7,2133980,2131906.0,327.16341189,327.30454988,327.48168901443125,1.0009728383896852
ABRYSVO,"RSV VACC, PREF A AND PREF B/PF",Brand,Pfizer US Pharm,698160177.7,2133980,2131906.0,327.16341189,327.30454988,327.48168901443125,1.0009728383896852
ABSORICA,ISOTRETINOIN,Brand,Overall,76072.07,42,22.0,1811.2397619,38.821409417,3457.821363636364,1.9090909090909092
ABSORICA,ISOTRETINOIN,Brand,Sun Pharmaceuti,76072.07,42,22.0,1811.2397619,38.821409417,3457.821363636364,1.9090909090909092
ABSORICA LD,"ISOTRETINOIN, MICRONIZED",Brand,Overall,62964.21,31,14.0,2031.1035484,45.669179159,4497.443571428571,2.2142857142857144
ABSORICA LD,"ISOTRETINOIN, MICRONIZED",Brand,Sun Pharmaceuti,62964.21,31,14.0,2031.1035484,45.669179159,4497.443571428571,2.2142857142857144
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Overall,8093355.04,50232,15765.0,161.11950629,0.945327342,513.3748836029179,3.186298763082778
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Major Pharmaceu,2759.33,22,,125.42409091,1.1225915378,,
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,AHP,4637.12,40,25.0,115.928,1.0129139362,185.4848,1.6
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Marlex Pharm.,2597.69,23,,112.94304348,0.9211666667,,
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Zydus Pharmaceu,3491465.77,22556,8140.0,154.79099885,0.9532096219,428.9269987714988,2.771007371007371
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Glenmark Pharma,4053092.56,23655,8193.0,171.34189643,0.9545528659,494.70188697668743,2.887220798242402
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Mylan,538802.57,3936,1432.0,136.89089685,0.8431753978,376.25877793296087,2.7486033519553073
ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,Brand,Overall,14029.67,26,,539.60269231,11.10821061,,
ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,Brand,Bausch Health U,14029.67,26,,539.60269231,11.10821061,,
ACARBOSE,ACARBOSE,Generic,Overall,9781113.16,169742,42919.0,57.623411766,0.3503993305,227.89704233556233,3.954938372282672
ACARBOSE,ACARBOSE,Generic,Virtus Pharmace,973814.05,20970,7505.0,46.438438245,0.237571058,129.75536975349766,2.794137241838774
ACARBOSE,ACARBOSE,Generic,Roxane/West-War,2857204.18,46811,15622.0,61.037025058,0.3443929657,182.89618358724877,2.9964793240302137
ACARBOSE,ACARBOSE,Generic,Avet Pharmaceut,1058022.19,15235,7194.0,69.446812603,0.4076565838,147.07008479288294,2.117737003058104
ACARBOSE,ACARBOSE,Generic,Chartwell Rx Ll,2562.08,35,24.0,73.202285714,0.4693585705,106.75333333333333,1.4583333333333333
ACARBOSE,ACARBOSE,Generic,Strides Pharma,4889510.66,86691,23886.0,56.40159486,0.3708246916,204.70194507242738,3.629364481286109
ACCOLATE,ZAFIRLUKAST,Brand,Overall,8114.96,21,13.0,386.42666667,3.6894436886,624.2276923076923,1.6153846153846154
ACCOLATE,ZAFIRLUKAST,Brand,Par Pharmaceuti,8114.96,21,13.0,386.42666667,3.6894436886,624.2276923076923,1.6153846153846154
ACCUTANE,ISOTRETINOIN,Brand,Overall,83176.6,424,192.0,196.17122642,4.2666876702,433.2114583333334,2.2083333333333335
ACCUTANE,ISOTRETINOIN,Brand,"Jg Pharma, Inc.",83176.6,424,192.0,196.17122642,4.2666876702,433.2114583333334,2.2083333333333335
ACEBUTOLOL HCL,ACEBUTOLOL HCL,Generic,Overall,5641077.2,76288,18164.0,73.944489304,0.6567985981,310.56359832635985,4.199955956837701
ACEBUTOLOL HCL,ACEBUTOLOL HCL,Generic,Ani Pharmaceuti,2361805.54,33383,9579.0,70.748750562,0.5833579879,246.56076208372482,3.4850193130806972
ACEBUTOLOL HCL,ACEBUTOLOL HCL,Generic,Marlex Pharm.,5059.74,72,23.0,70.274166667,0.8992473684,219.9886956521739,3.130434782608696
ACEBUTOLOL HCL,ACEBUTOLOL HCL,Generic,Amneal Pharmace,3274211.92,42833,11594.0,76.441340088,0.7136288827,282.4057202001035,3.6944109021907883
ACETAMIN-CAFF-DIHYDROCODEINE,ACETAMINOPHEN/CAFF/DIHYDROCOD,Brand,Overall,219642.98,1064,235.0,206.43137218,2.7758635594,934.6509787234043,4.527659574468085
ACETAMIN-CAFF-DIHYDROCODEINE,ACETAMINOPHEN/CAFF/DIHYDROCOD,Brand,Xspire Pharma,219642.98,1064,235.0,206.43137218,2.7758635594,934.6509787234043,4.527659574468085
ACETAMINOPHEN,ACETAMINOPHEN,Generic,Overall,48942.97,350,156.0,139.83705714,0.1602797227,313.7369871794872,2.2435897435897436
ACETAMINOPHEN,ACETAMINOPHEN,Generic,Leucadia/Hikma,16602.22,94,46.0,176.6193617,0.1624483366,360.91782608695655,2.0434782608695654
ACETAMINOPHEN,ACETAMINOPHEN,Generic,Auromedics-Eugi,5764.24,59,38.0,97.698983051,0.1731003003,151.69052631578947,1.5526315789473684
ACETAMINOPHEN,ACETAMINOPHEN,Generic,Fresenius Kabi,1628.01,20,11.0,81.4005,0.1242755725,148.0009090909091,1.8181818181818181
ACETAMINOPHEN,ACETAMINOPHEN,Generic,B.Braun,7150.39,90,41.0,79.448777778,0.0802625049,174.39975609756098,2.1951219512195124
ACETAMINOPHEN,ACETAMINOPHEN,Generic,Sandoz,17250.98,76,38.0,226.98657895,0.2574773134,453.97315789473686,2.0
ACETAMINOPHEN,ACETAMINOPHEN,Generic,Hikma Pharmaceu,547.13,11,,49.739090909,0.1215844444,,
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,Overall,31133907.32,2525038,1131972.0,12.330074763,0.2464384255,27.504132010332413,2.230654115119455
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,Hi-Tech/Akorn C,23729.56,3332,2387.0,7.1217166867,0.0225803892,9.941164641809804,1.3958944281524928
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,Eywa Pharma Inc,3341894.71,443029,244661.0,7.5432865794,0.1623174833,13.659286563857746,1.8107871708200327
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,AHP,204.12,13,11.0,15.701538462,0.3091531997,18.55636363636364,1.1818181818181819
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,Genus Lifescien,40917.34,1201,892.0,34.069392173,0.097837114,45.871457399103136,1.3464125560538116
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,Amneal Pharmace,2836732.69,301209,211024.0,9.4178218114,0.2444510598,13.44270173060884,1.427368450981879
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,Ranbaxy Pharmac,938.81,35,16.0,26.823142857,0.3440124588,58.675625,2.1875
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,Pharm Assoc Inc,75410.84,8909,5628.0,8.464568414,0.0284417976,13.399225302061122,1.5829779673063256
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,Aurobindo Pharm,208104.03,23444,18324.0,8.8766434909,0.2582479229,11.356910609037328,1.2794149748963108
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,Mallinckrodt Ph,24603735.89,1743624,796595.0,14.110688939,0.269640374,30.886128948838493,2.188846276966338
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Brand,Teva USA,2239.33,242,180.0,9.2534297521,0.2322233745,12.440722222222222,1.3444444444444446
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Overall,14839910.41,223297,90681.0,66.458171897,0.9128523131,163.64961138496489,2.4624452751954653
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Viona Pharmaceu,2499.03,17,17.0,147.00176471,1.080414618,147.00176470588235,1.0
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Advagen Pharma,1487490.84,23574,11934.0,63.098788496,0.7717289505,124.64310708898945,1.9753645047762696
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Taro Pharm USA,1106395.94,14987,8438.0,73.823709882,0.98493863,131.1206375918464,1.776131784783124
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Novitium/Ani Ph,541179.89,7805,3968.0,69.337590006,0.8509388123,136.38606098790322,1.9669858870967742
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Lifestar Pharma,1514750.05,24263,10005.0,62.430451717,0.9844740019,151.39930534732633,2.4250874562718643
